"台灣易思資訊科技股份有限公司",1a2x6bk2lv
"鎧暘科技股份有限公司",10z38w4w
"兆竑智聯股份有限公司",1a2x6bl6o7
"KYOCERA ASIA PACIFIC PTE. LTD._新加坡商京瓷亞太有限公司台北分公司",7qiwxy0
"歐鎷數位資訊股份有限公司",b89jus0
"綠源動力科技股份有限公司",1a2x6bjug2
"澳洲商安藤太空股份有限公司台灣辦事處",1a2x6blwmf
"香港商華瀾微電子(香港)有限公司",1a2x6bk9aa
"台灣東亞電磁鋼股份有限公司",1xv6ids
"領先創新科技股份有限公司",1a2x6bla8z
"大都會網路科技股份有限公司",wchljz4
"英華達股份有限公司",wifucgw
"力晶科技股份有限公司",12nodd0o
"松翰科技股份有限公司",18l95gqo
"太盟光電科技股份有限公司",18hywvuw
"亦威科技股份有限公司",1a2x6bialv
"台灣索思未來科技股份有限公司",1a2x6bjvfb
"詮登科技有限公司",1a2x6bk3k6
"澳洲商來點別的系統有限公司",1a2x6bkv09
"晨楊科技股份有限公司",1a2x6bl66s
"展杰資訊有限公司",1a2x6bl9rp
"普諾睿科技有限公司",1a2x6bm70q
"瑞迪國際股份有限公司",10vg8pq8
"菁盛企業有限公司",b0vpidc
"球據智能運動數據分析有限公司",1a2x6blryt
"量素科技股份有限公司",1a2x6bm39s
"晶銅科技有限公司",1a2x6blgyf
"向雲科技股份有限公司",1a2x6bim60
"巨兆數位有限公司",1a2x6blnsh
"那維亞科技股份有限公司",1a2x6bj6kv
"菲尼克斯有限公司",co25qew
"聯合光纖通信股份有限公司",9qzs9mg
"異軍互動娛樂股份有限公司",1a2x6bjl13
"宅急網股份有限公司",10qggtaw
"新工光電科技股份有限公司",1a2x6bm3jm
"台灣大哥大特約門市大同延平北_前進電訊有限公司",1a2x6bipm6
"健策精密工業股份有限公司",aaptjn4
"黃氏兄弟有限公司",1a2x6blnev
"上田科技股份有限公司",cknlf1s
"鉅堡科技股份有限公司",cljar0g
"鍵科有限公司",1a2x6bjxbz
"鼎恒數位科技股份有限公司",1a2x6bigyr
"華矽半導體股份有限公司",12prrniw
"加拿大商創力網絡科技股份有限公司_LANTRONIX TECHNOLOGIES CANADA (TAIWAN) LTD.",1a2x6bjjuk
"貫傑科技有限公司",1a2x6blaex
"鴻暉國際科技股份有限公司",1a2x6blg42
"牛灣娛樂有限公司",1a2x6bm6uh
"機光科技股份有限公司",5wgljc0
"台虹科技股份有限公司",7fw2qzs
"騰璽科技股份有限公司",1a2x6bjp3i
"鴻準精密工業股份有限公司",aw30gbs
"嘉力資訊有限公司",13un46t4
"宇碩光電有限公司",1a2x6bj0za
"摩思科技股份有限公司",10y6w4t4
"英屬維京群島商分子尼奧科技股份有限公司台灣分公司",1a2x6bm714
"昂德光學股份有限公司",ag7sqcg
"台精精密股份有限公司",5qj58aw
"美商富迪科技股份有限公司台灣分公司",1a2x6bihi0
"奕科有限公司",1a2x6bku0v
"鑫視科技股份有限公司",7t54ejc
"台灣理光股份有限公司",dcjxtg8
"礫石網路多媒體企業社",1a2x6bldg0
"諾鈦系統有限公司",1a2x6bju0g
"洋銘資訊股份有限公司",1a2x6bjm3x
"傑人文教科技有限公司",1a2x6biqux
"偉貿企業有限公司",1a2x6bjasr
"麗臺科技股份有限公司",a97q9sg
"榮陽企業股份有限公司",1569eo9c
"金良興科技股份有限公司",1a2x6blz0c
"筑科科技股份有限公司",110kvkrk
"宏羚股份有限公司",27rd7o0
"塞特科技股份有限公司",1a2x6bkwfb
"金美利事業有限公司",1a2x6bm3rw
"研杰科技股份有限公司",61jk0rc
"荃聚整合行銷有限公司",1a2x6bkyxo
"欣元電子有限公司",10v1nleo
"香港商台灣邏輯媒體科技有限公司台灣分公司",1a2x6bkfkb
"捕夢網數位科技有限公司",10yvej0g
"優護平台股份有限公司",1a2x6bjlqv
"海豚智慧物聯網股份有限公司",1a2x6bm5lz
"三趨科技股份有限公司",7m69tgg
"台灣杰斯特半導體設備技術股份有限公司",1a2x6bjovd
"亞舍立科技股份有限公司_Axcelis Technologies",5tjksuo
"葳群科技有限公司",1a2x6bihif
"嵩台資訊股份有限公司",13owb248
"博訊科技股份有限公司",1300dv5c
"旭軟電子科技股份有限公司",7nre93c
"創意點子數位股份有限公司",1a2x6bime7
"敦新科技股份有限公司",5snb99k
"鴻星數位科技股份有限公司",bk9jc68
"台灣愛歐達股份有限公司",ddjf60o
"緯穎科技服務股份有限公司",onw9tj4
"精拓科技股份有限公司",10wkh3pc
"香港商中電長城臺北研發中心有限公司",1a2x6bjz82
"鴻星數位科技股份有限公司",bk9jc68
"賽鍉克動畫有限公司",1a2x6bk4ab
"創量科技股份有限公司",10w0ewh4
"甲尚股份有限公司",12swdh0w
"立光科技國際股份有限公司",wcwlm3s
"Silicon-Core Technology_矽芯有限公司",1a2x6bjija
"新加坡商韋能能源有限公司台灣分公司",1a2x6bk07z
"連毅科技股份有限公司",1a2x6bkcqw
"迪普資訊整合有限公司",1a2x6bl668
"鎰譁實業有限公司",12znidyo
"元頂資訊有限公司",1a2x6blx78
"晶天下有限公司",1a2x6bm6ym
"新逸資訊科技有限公司",1a2x6bkzaj
"香港商伊迪媒體網路技術有限公司台灣分公司",1a2x6bm6v3
"賀康生醫股份有限公司",1a2x6bl4h2
"黑訊科技股份有限公司",1a2x6bkf8e
"中聯峰能源有限公司",1a2x6bloet
"展音企業有限公司",1a2x6bm6yu
"翔探科技股份有限公司",1a2x6bkkg8
"晶準智慧股份有限公司",1a2x6bm6w9
"啟航通訊行",1a2x6bjsh7
"兆利豐股份有限公司",1a2x6bm6t6
"銘元資訊科技有限公司",1a2x6blpxd
"朝陽事務機器有限公司",10o72vog
"豪頡科技有限公司",clofee0
"研頂科技系統股份有限公司",1a2x6bm6za
"東立材料股份有限公司",1a2x6biest
"某科技股份有限公司台灣分公司",1a2x6blv5x
"漢科系統科技股份有限公司",ay3xxaw
"艾師有限公司",1a2x6bl0x4
"吉裕電子有限公司",10thxtug
"香港商默升科技有限公司台灣分公司",1a2x6bkfzs
"台灣谷嘉美有限公司",1a2x6bjk9h
"商智資訊股份有限公司",614ykv4
"極風網路股份有限公司",1a2x6bkopk
"長智貿易股份有限公司",1a2x6bjxj7
"全能資訊科技有限公司",1a2x6bl36j
"鑫日東光電股份有限公司",ofkb92o
"翊浩科技股份有限公司",1a2x6bhzkg
"亞盾科技股份有限公司",5t6utyw
"開弘電子企業有限公司",adsypb4
"京輝監控科技有限公司",ofwxcao
"三友國際有限公司",7moaad4
"皓昕實業有限公司",1a2x6bm6yl
"Sigmatron International Inc. Taiwan Branch_美商喜瑪慶國際股份有限公司台灣分公司",1301v29s
"商越科技股份有限公司",13knip00
"愛迪亞科技股份有限公司",18n5ib0o
"金氏科訊股份有限公司",18r16t94
"秉紳股份有限公司",1a2x6bi7z1
"統億材料股份有限公司",cx5g180
"遠振資訊有限公司",cx9empk
"偉勝儀器工業股份有限公司",a5wsm4o
"久正光電股份有限公司",a5i3tv4
"騰隆工業工程股份有限公司",25gyqgg
"宣德科技股份有限公司",ayprjpk
"恒洲集團_佳普股份有限公司",5leym54
"理動精密股份有限公司",1a2x6bjcbr
"佳大科技有限公司",10ryhxzs
"理動精密股份有限公司",1a2x6bjcbr
"聚時工作室",1a2x6bm0di
"新加坡商品諾科技股份有限公司台灣分公司",1a2x6blodk
"美商科點半導體有限公司",1a2x6bkeeh
"荃勤環境維護有限公司",1a2x6bkzj4
"壹蒔壹行銷管理顧問股份有限公司",1a2x6blb0z
"虹承科技有限公司",1a2x6blfpt
"跨界創新有限公司",1a2x6blhqh
"妡球崛起科技有限公司",1a2x6bll8r
"賦能港科技股份有限公司",1a2x6blyp9
"豪穎科技股份有限公司",1a2x6bm4ad
"元鈺自動化有限公司",1a2x6bm3bs
"燁新科技有限公司",1a2x6bm6rq
"凱臻電子有限公司",1a2x6bm6y1
"宥興工程行",1a2x6bm6ui
"記得存檔有限公司",1a2x6bm6we
"薩摩亞商愛旺電子科技有限公司台灣分公司",1a2x6bjol5
"LARUS Limited",1a2x6bl5fc
"飛訊資訊科技有限公司",abjy0jc
"東明數位相機王_東明數位實業有限公司",10vdxg1k
"瑞豪通訊有限公司",1a2x6blf2k
"晶訊科技股份有限公司",12vlr8l4
"長天國際企業有限公司",1a2x6bi4kt
"承星資訊科技有限公司",1a2x6bjt68
"慶燁科技股份有限公司",7mwjz6o
"華越資通企管顧問有限公司",1a2x6bjwe4
"七友科技股份有限公司",wfnk76w
"光映科技股份有限公司",12srhl8g
"東京威力科創股份有限公司",18jqrzls
"Adam Elements International Co., Ltd._亞果元素國際股份有限公司",1a2x6bj13y
"七友科技股份有限公司",wfnk76w
"將大科技股份有限公司",1a2x6blwh7
"巨匠雲科技教育股份有限公司",1a2x6bkkbm
"台灣富士通科技股份有限公司",1a2x6bkz8f
"elevo_艾樂維教育科技股份有限公司",1a2x6blnj7
"英屬維京群島商蔚藍雲數位科技股份有限公司台灣分公司",1a2x6bloun
"愛享娛樂有限公司",1a2x6blovw
"思凱睿克股份有限公司",1a2x6bjtoy
"新加坡商旭創光通有限公司台灣分公司",1a2x6bkxyh
"得利購股份有限公司",1a2x6bklot
"新芽網路股份有限公司",1a2x6bjd09
"三星國際機械股份有限公司",b79x5b4
"創唯達實業股份有限公司",15ceyh48
"慶聲科技股份有限公司",fvqm34o
"風采有限公司",1a2x6bl9po
"安傑特科技股份有限公司",1a2x6blf2o
"匯陞資訊有限公司",1a2x6bkx7m
"加合科技股份有限公司",ogg3s08
"航普科技有限公司",1a2x6bii1g
"英屬開曼群島商乙盛精密工業股份有限公司台灣分公司",db895ao
"興進事業有限公司",ayfuuns
"海量數位工程股份有限公司",5t25ako
"雅特力科技股份有限公司",1a2x6blojm
"境象國際網路商務有限公司",1a2x6bl8n8
"庚霖電子企業有限公司",ablg07k
"華紅股份有限公司",1a2x6bl9gt
"吉音資訊有限公司",10uhacsw
"地儀光電科技股份有限公司",ay7mxvs
"亞德克股份有限公司",1a2x6bhzfq
"楓橡科技股份有限公司",7mfclcg
"楓橡科技股份有限公司",7mfclcg
"創勢科技股份有限公司",1a2x6bkh6r
"瑞訊股份有限公司",awz5xb4
"禾鏵實業有限公司",d4ai320
"英特拉金融科技股份有限公司",1a2x6bkus5
"典輝光電股份有限公司",czyv0eo
"全智科技股份有限公司",whip92w
"安矽思科技股份有限公司",112unpyo
"建榮工業材料股份有限公司",13tpt2lk
"力歐科技股份有限公司",150d1pw8
"九佳科技股份有限公司",13ietr2g
"費米股份有限公司",1a2x6bj1pp
"悠創科技股份有限公司",1a2x6bji48
"光時代科技股份有限公司",1a2x6bky9g
"傲索科技有限公司",1a2x6bl3tp
"優力勁聯股份有限公司",1a2x6bl5y7
"膜力威數位生活館_膜力威數位科技有限公司",1a2x6bjstx
"原旻國際科技有限公司",1a2x6bjg3s
"永杰科技股份有限公司",co0uu54
"猿王資訊有限公司",1a2x6blk2x
"酷樂石軟體股份有限公司",1a2x6bkqhr
"尚玄國際股份有限公司",1a2x6bl99e
"中飛科技股份有限公司",ctd1rxk
"嘉緹科技股份有限公司",1a2x6bj45p
"上暘光學股份有限公司",1a2x6bi8ke
"美商六度有限公司台灣辦事處",1a2x6bln63
"美商世紀新訊股份有限公司台灣分公司",dbau27c
"台灣德聯高科股份有限公司",at550wo
"五陽暖暖股份有限公司",1a2x6bkl2l
"上道工程股份有限公司",11bhkrt4
"響友科技有限公司",1a2x6bi99g
"弘勝光電股份有限公司",b4m368g
"偉盛資訊股份有限公司",1a2x6bm1mf
"愛爾蘭商益華科技股份有限公司台灣分公司",7ozuzmw
"銀興科技股份有限公司",5l2e73s
"見智科技股份有限公司",10qsdm14
"群力科技股份有限公司",10t67f20
"騰騏科技股份有限公司",1a2x6blijj
"耀群科技股份有限公司",10yupd5c
"世同電子股份有限公司",12rowgqw
"小婷電腦有限公司",b4gojag
"新鉅峰國際科技有限公司",1a2x6bik4v
"捷暉光學科技股份有限公司",co58fr4
"奧璐佳瑙科技股份有限公司",cru6ei8
"金宇科技股份有限公司",d0sag2g
"威小寶創意科技股份有限公司",1a2x6bjhbz
"大千科技有限公司",1a2x6bm6rw
"立璽科技股份有限公司",1a2x6bjstf
"同源數位智能股份有限公司",1a2x6bm6qu
"喜馬拉雅科技有限公司",1a2x6bm6s3
"翡莉絲網路科技有限公司",1a2x6bm3ma
"環台光電股份有限公司",1a2x6bla7m
"揚歐機械服務股份有限公司",1a2x6bln29
"日勗能源股份有限公司",1a2x6blwzk
"喬棋數位廣告行銷有限公司",ofr846g
"朵朵雲網絡行銷股份有限公司",1a2x6biwgc
"慧德科技股份有限公司",1a2x6bies5
"臺灣發展軟體科技股份有限公司",1a2x6bknlh
"勤樺資訊股份有限公司",1a2x6blo6k
"巨虹電子股份有限公司",12vmkh20
"摩拓旅程股份有限公司",1a2x6blhuj
"吉嘉電子股份有限公司",9r5z5jk
"財神金流有限公司",1a2x6bm0hy
"量算科技有限公司",1a2x6blkjb
"義倉精機股份有限公司",4c5m3vs
"智安帳本科技股份有限公司",1a2x6bkg2y
"PicCollage拼貼趣_美商凱德諾藍股份有限公司台灣分公司",dbi1980
"博思資訊管理顧問有限公司",1a2x6blhw5
"香港商阿爾伊股份有限公司台灣分公司",1a2x6bjzwz
"泰錸科技有限公司",1a2x6bk23t
"永盛通訊有限公司",1a2x6bjaoc
"得揚科技股份有限公司",1a2x6bk0vg
"Nogle Taiwan Limited_諾傑股份有限公司",1a2x6bj7rm
"台灣阿美特克股份有限公司",1a2x6bibea
"友立數位科技股份有限公司",1a2x6bipcf
"香港商泥巴娛樂有限公司台灣分公司",1a2x6bl74r
"挪威商悅瞻軟體股份有限公司台灣分公司",1a2x6bjrfr
"元威資訊科技股份有限公司",wbwhxiw
"易禧創意科技股份有限公司",wezci0o
"合正科技股份有限公司",13ns3f5c
"萊優事業有限公司",d1fop20
"泰仕電子工業股份有限公司",ag7s5ig
"信睦股份有限公司",gggwj9c
"瑪居禮電波工業股份有限公司",29u76ow
"中程資訊顧問有限公司",1a2x6bi9km
"豪晶科技股份有限公司新竹科學園區分公司",5vp2xao
"基準電子股份有限公司",12qysmn4
"智威科技股份有限公司",1310czdk
"點晶科技股份有限公司",18pq6ze0
"佳靖電子股份有限公司",1a2x6bi5tb
"中程資訊顧問有限公司",1a2x6bi9km
"基準電子股份有限公司",12qysmn4
"智威科技股份有限公司",1310czdk
"瑪居禮電波工業股份有限公司",29u76ow
"點晶科技股份有限公司",18pq6ze0
"佳靖電子股份有限公司",1a2x6bi5tb
"豪晶科技股份有限公司新竹科學園區分公司",5vp2xao
"昱盛電子股份有限公司",1a2x6binwf
"沛星互動科技股份有限公司",1a2x6biwai
"頡威軟體科技有限公司",1a2x6bjfdd
"歐蒙德股份有限公司",1a2x6blub8
"美商心環科技股份有限公司台灣分公司",1a2x6blvdv
"太平洋綠能股份有限公司",1a2x6bkwee
"木荷科技股份有限公司",1a2x6bkvje
"韓商先進科技股份有限公司",1a2x6bl2a0
"騰冠科技有限公司",1a2x6bl3dx
"新加坡商耐思人工智能有限公司台灣分公司",1a2x6bl2di
"遐光映畫工作室",1a2x6blffv
"禾亞數位科技股份有限公司",1a2x6blx7h
"明潤電腦有限公司",1a2x6bm57t
"虹城企業有限公司",1a2x6bm6mp
"淞盛科技有限公司",1a2x6bm6o6
"恩翔資訊科技有限公司",1a2x6bm6p4
"台林電通股份有限公司",5n29k60
"新科勢資訊有限公司",1a2x6bk9dg
"永恆國際網路有限公司",1a2x6bkvgc
"環友科技股份有限公司",10zxt2m8
"豪勉科技股份有限公司",5m5be08
"美微科半導體股份有限公司",13k66leo
"上善厚生股份有限公司",1a2x6bjer2
"樂金股份有限公司",b5o3z8o
"仟力股份有限公司",1a2x6bkm8t
"志禾工業股份有限公司",atbjkag
"玄米設計股份有限公司",1a2x6bi08l
"蜜望實企業股份有限公司",apir9lk
"達鈴國際有限公司",1a2x6bi6z5
"寶階整合科技股份有限公司",12nl4fww
"鎣立商行",1a2x6bm2u7
"世代流通資訊股份有限公司",wemlwrc
"褔軒科技股份有限公司",1a2x6bidhv
"小偉日系腕時計本舖_昇亞產業有限公司",ddfl774
"電寶股份有限公司",alp1n28
"巴登線上娛樂股份有限公司",1a2x6bm0vq
"禪才科技股份有限公司",d4tch4g
"勤盛工業股份有限公司",aqiej4o
"鴻酉精密企業有限公司",ct5gxeg
"新泰工業股份有限公司",gajfbtk
"倫輝實業股份有限公司",ayiqafc
"碁曄科技股份有限公司",b6gyy0o
"晴鴻資訊",8f9xkfk
